0.01	0.99999	-0.0038318	4.99E-06	0.0016753	4.74E-06	0.0016618	0.92595	-0.0018669		
0.11	0.99801	-0.059444	0.00091683	0.018392	0.00090916	0.018244	0.92507	-0.036612		
0.21	0.99276	-0.11334	0.0033356	0.034929	0.0033082	0.034648	0.92273	-0.069952		
0.31	0.98429	-0.16655	0.0072266	0.051128	0.0071676	0.050716	0.91894	-0.10301		
0.41	0.97271	-0.21882	0.012535	0.066835	0.012433	0.066297	0.91374	-0.13571		
0.51	0.95815	-0.26989	0.019186	0.081911	0.01903	0.081251	0.90718	-0.16796		
0.61	0.94076	-0.31951	0.027091	0.096225	0.026871	0.09545	0.89931	-0.19966		
0.71	0.92075	-0.36747	0.036145	0.10966	0.035851	0.10878	0.8902	-0.23073		
0.81	0.89831	-0.41357	0.046232	0.12213	0.045856	0.12115	0.87993	-0.2611		
0.91	0.87367	-0.45765	0.05723	0.13355	0.056765	0.13248	0.86856	-0.29069		
1.01	0.84707	-0.49959	0.06901	0.14386	0.068449	0.1427	0.85618	-0.31946		
1.11	0.81873	-0.53928	0.081441	0.15301	0.080778	0.15178	0.84288	-0.34735		
1.21	0.78891	-0.57667	0.094393	0.16097	0.093625	0.15968	0.82873	-0.37435		
1.31	0.75782	-0.61172	0.10774	0.16775	0.10686	0.1664	0.81383	-0.40042		
1.41	0.72571	-0.64441	0.12136	0.17334	0.12037	0.17194	0.79826	-0.42554		
1.51	0.69278	-0.67476	0.13513	0.17775	0.13403	0.17633	0.78209	-0.44972		
1.61	0.65924	-0.7028	0.14895	0.18103	0.14773	0.17958	0.76539	-0.47295		
1.71	0.62527	-0.72859	0.16271	0.1832	0.16139	0.18173	0.74825	-0.49523		
1.81	0.59105	-0.75219	0.17633	0.18432	0.1749	0.18285	0.73072	-0.5166		
1.91	0.55674	-0.77367	0.18973	0.18444	0.18818	0.18296	0.71286	-0.53705		
2.01	0.52247	-0.79313	0.20283	0.18362	0.20118	0.18215	0.69474	-0.55661		
2.11	0.48838	-0.81067	0.21558	0.18191	0.21382	0.18046	0.6764	-0.5753		
2.21	0.45456	-0.82637	0.22791	0.17939	0.22606	0.17795	0.65789	-0.59315		
2.31	0.42112	-0.84034	0.2398	0.17611	0.23784	0.1747	0.63925	-0.61018		
2.41	0.38813	-0.85269	0.25119	0.17214	0.24914	0.17077	0.62051	-0.62643		
2.51	0.35565	-0.86352	0.26207	0.16755	0.25993	0.16621	0.60172	-0.64192		
2.61	0.32376	-0.87292	0.27241	0.16239	0.27019	0.1611	0.58289	-0.65667		
2.71	0.29248	-0.88099	0.2822	0.15673	0.2799	0.15549	0.56406	-0.67072		
2.81	0.26185	-0.88784	0.29142	0.15063	0.28905	0.14943	0.54524	-0.6841		
2.91	0.23191	-0.89354	0.30008	0.14413	0.29764	0.14299	0.52646	-0.69682		
3.01	0.20267	-0.89819	0.30818	0.1373	0.30566	0.13622	0.50773	-0.70891		
3.11	0.17413	-0.90186	0.3157	0.13018	0.31313	0.12915	0.48907	-0.72041		
3.21	0.14632	-0.90463	0.32268	0.12281	0.32004	0.12185	0.47049	-0.73132		
3.31	0.11923	-0.90659	0.3291	0.11525	0.32641	0.11435	0.45201	-0.74168		
3.41	0.092851	-0.90778	0.33499	0.10752	0.33225	0.10668	0.43363	-0.75151		
3.51	0.067187	-0.90828	0.34035	0.099665	0.33757	0.098895	0.41536	-0.76082		
3.61	0.042227	-0.90815	0.34521	0.091722	0.34238	0.091018	0.39721	-0.76964		
3.71	0.017959	-0.90743	0.34957	0.083719	0.34671	0.083081	0.37918	-0.77798		
3.81	-0.0056292	-0.90618	0.35346	0.075683	0.35057	0.075112	0.36129	-0.78586		
3.91	-0.028552	-0.90445	0.35689	0.06764	0.35397	0.067136	0.34353	-0.7933		
4.01	-0.050826	-0.90228	0.35988	0.059614	0.35693	0.059177	0.32591	-0.80031		
4.11	-0.072466	-0.89971	0.36245	0.051625	0.35948	0.051254	0.30844	-0.80691		
4.21	-0.093491	-0.89677	0.36462	0.043691	0.36163	0.043387	0.29112	-0.81312		
4.31	-0.11392	-0.8935	0.3664	0.03583	0.36339	0.035592	0.27394	-0.81893		
4.41	-0.13376	-0.88993	0.36781	0.028057	0.3648	0.027883	0.25692	-0.82438		
4.51	-0.15304	-0.88609	0.36888	0.020384	0.36585	0.020275	0.24006	-0.82947		
