0.000038	0.062832
0.000595	0.691152
0.001138	1.319472
0.001681	1.947792
0.002224	2.576112
0.002767	3.204432
0.003310	3.832752
0.003853	4.461072
0.004397	5.089392
0.004941	5.717712
0.005486	6.346032
0.006031	6.974352
0.006577	7.602672
0.007123	8.230991
0.007670	8.859312
0.008218	9.487632
0.008766	10.115952
0.009315	10.744272
0.009866	11.372592
0.010417	12.000912
0.010969	12.629232
0.011522	13.257551
0.012076	13.885872
0.012631	14.514192
0.013187	15.142512
0.013745	15.770832
0.014304	16.399151
0.014864	17.027472
0.015425	17.655792
0.015989	18.284113
