10.01	-0.90308	-0.23286	0.075654	0.023551	0.074349	0.023781	-0.67975	0.017094				
10.11	-0.90417	-0.22839	0.075675	0.023532	0.07437	0.023769	-0.67999	0.017345				
10.21	-0.90524	-0.22397	0.075693	0.023516	0.07439	0.02376	-0.68022	0.017597				
10.31	-0.90626	-0.21962	0.075711	0.023503	0.074409	0.023753	-0.68046	0.017851				
10.41	-0.90726	-0.21531	0.075727	0.023492	0.074427	0.023749	-0.68069	0.018107				
10.51	-0.90822	-0.21106	0.075742	0.023484	0.074443	0.023748	-0.68093	0.018365				
10.61	-0.90914	-0.20687	0.075755	0.023479	0.074458	0.023749	-0.68117	0.018625				
10.71	-0.91004	-0.20272	0.075767	0.023477	0.074471	0.023754	-0.68142	0.018887				
10.81	-0.91091	-0.19862	0.075778	0.023477	0.074484	0.02376	-0.68166	0.019151				
10.91	-0.91175	-0.19458	0.075788	0.02348	0.074495	0.02377	-0.6819	0.019417				
11.01	-0.91256	-0.19058	0.075797	0.023485	0.074506	0.023781	-0.68215	0.019684				
11.11	-0.91335	-0.18662	0.075804	0.023493	0.074515	0.023795	-0.6824	0.019954				
11.21	-0.91411	-0.18271	0.075811	0.023503	0.074523	0.023812	-0.68265	0.020226				
11.31	-0.91484	-0.17885	0.075816	0.023516	0.07453	0.023831	-0.6829	0.020499				
11.41	-0.91555	-0.17502	0.075821	0.023531	0.074537	0.023852	-0.68315	0.020775				
11.51	-0.91624	-0.17124	0.075825	0.023548	0.074542	0.023876	-0.68341	0.021053				
11.61	-0.9169	-0.16751	0.075827	0.023568	0.074547	0.023902	-0.68366	0.021333				
11.71	-0.91754	-0.16381	0.075829	0.02359	0.074551	0.02393	-0.68392	0.021614				
11.81	-0.91816	-0.16015	0.07583	0.023614	0.074554	0.02396	-0.68418	0.021898				
11.91	-0.91876	-0.15653	0.075831	0.023641	0.074556	0.023992	-0.68444	0.022184				
12.01	-0.91934	-0.15294	0.07583	0.023669	0.074558	0.024027	-0.6847	0.022472				
12.11	-0.9199	-0.14939	0.075829	0.0237	0.074559	0.024063	-0.68496	0.022763				
12.21	-0.92044	-0.14588	0.075827	0.023733	0.074559	0.024102	-0.68523	0.023055				
12.31	-0.92096	-0.14241	0.075825	0.023768	0.074558	0.024143	-0.68549	0.023349				
12.41	-0.92146	-0.13896	0.075822	0.023804	0.074557	0.024185	-0.68576	0.023646				
12.51	-0.92195	-0.13556	0.075818	0.023843	0.074556	0.02423	-0.68603	0.023945				
12.61	-0.92242	-0.13218	0.075814	0.023884	0.074553	0.024277	-0.6863	0.024246				
12.71	-0.92287	-0.12884	0.075809	0.023927	0.074551	0.024325	-0.68657	0.024549				
