4		-1.3017		14.486		-4.6646		-23.801		30.478			-49.379			-102.98			109.93
5		-1.5028		13.079		-5.0797		-23.425		23.474			-56.049			-115.54			100.18
6		-1.6308		11.796		-5.3141		-23.315		18.108			-61.881			-125.16			91.995
7		-1.7079		10.63		-5.4098		-23.371		13.916			-67.204			-132.74			84.88
8		-1.75		9.5649		-5.4046		-23.542		10.616			-72.184			-138.87			78.528
9		-1.7676		8.5869		-5.3281		-23.802		8.045			-76.902			-143.95			72.742
10		-1.7679		7.6822		-5.2028		-24.137		6.1147			-81.401			-148.25			67.391
11		-1.7556		6.8397		-5.045		-24.538		4.7901			-85.705			-151.97			62.386
12		-1.7344		6.05		-4.8667		-24.998		4.0762			-89.829			-155.24			57.668
13		-1.7065		5.3055		-4.6766		-25.511		4.0125			-93.784			-158.16			53.193
14		-1.6739		4.5999		-4.481		-26.071		4.6692			-97.581			-160.81			48.929
15		-1.638		3.928		-4.2844		-26.666		6.1451			-101.23			-163.24			44.853
16		-1.5999		3.2854		-4.0901		-27.278		8.5606			-104.73			-165.49			40.948
17		-1.5604		2.6684		-3.9003		-27.88		12.041			-108.11			-167.6			37.2
18		-1.5203		2.0738		-3.7164		-28.429		16.678			-111.36			-169.59			33.6
19		-1.48		1.499		-3.5396		-28.871		22.472			-114.49			-171.47			30.138
20		-1.44		0.94165		-3.3704		-29.141		29.25			-117.51			-173.28			26.809
