-1.862734	6.283200
-202.484726	12.566400
-151.900879	18.849600
-135.200851	25.132799
-127.053680	31.416000
-122.390396	37.699200
-119.525948	43.982399
-117.731117	50.265598
-116.646645	56.548801
-116.069496	62.832001
-115.878395	69.115196
-116.001694	75.398399
-116.378685	81.681602
-116.980591	87.964798
-117.775719	94.248001
-118.744141	100.531197
-119.877113	106.814400
-121.161957	113.097603
-122.582817	119.380798
-124.136253	125.664001
-125.816063	131.947205
-127.614769	138.230392
-129.529587	144.513596
-131.562164	150.796799
-133.687546	157.080002
-135.916275	163.363205
-138.255188	169.646393
-140.682846	175.929596
-143.189102	182.212799
-145.791229	188.496002
