-0.162751	6.283200
0.000007	12.566400
0.000026	18.849600
0.000056	25.132799
0.000098	31.416000
0.000151	37.699200
0.000217	43.982399
0.000294	50.265598
0.000383	56.548801
0.000485	62.832001
0.000598	69.115196
0.000724	75.398399
0.000861	81.681602
0.001011	87.964798
0.001172	94.248001
0.001345	100.531197
0.001529	106.814400
0.001722	113.097603
0.001924	119.380798
0.002131	125.664001
0.002340	131.947205
0.002546	138.230392
0.002740	144.513596
0.002908	150.796799
0.003034	157.080002
0.003090	163.363205
0.003044	169.646393
0.002851	175.929596
0.002438	182.212799
0.001785	188.496002
