

12.566400 	 0.001184	 10615.096680


18.849600 	 0.001117	 16874.318359


25.132799 	 0.001079	 23288.027344


31.416000 	 0.001072	 29301.167969


37.699200 	 0.001086	 34701.031250


43.982399 	 0.001114	 39489.253906


50.265598 	 0.001149	 43749.230469


56.548801 	 0.001188	 47583.066406


62.832001 	 0.001230	 51085.449219


69.115196 	 0.001272	 54327.078125


75.398399 	 0.001314	 57365.101563


81.681602 	 0.001356	 60243.652344


87.964798 	 0.001396	 62993.105469


94.248001 	 0.001436	 65639.593750


100.531197 	 0.001474	 68198.625000


106.814400 	 0.001511	 70689.359375
